Show,Weekday,Start,End,DJs,Biweekly_Even,Biweekly_Odd
"Mountain Music Power Hour",Wednesday,20:00,22:00,"Jack and Eva",TRUE,FALSE
"Too Darn Soulful"Sunday,12:00,14:00,Ethan,FALSE,FALSE
